,Tanggal,Hari,Bulan,Tahun,HargaJual,HargaBeli,Inflasi,HargaMinyak,Kurs Jual,Kurs Beli
0,29/07/21,31,7,2021,948000,843000,0.0133,"73,95",14570.0,14426.0
1,28/07/21,30,7,2021,953000,850000,0.0133,"73,95",14561.0,14417.0
2,27/07/21,29,7,2021,945000,842000,0.0133,"73,62",14566.0,14422.0
3,26/07/21,28,7,2021,940000,837000,0.0133,"72,39",14574.0,14429.0
4,23/07/21,27,7,2021,940000,837000,0.0133,"71,65",14581.0,14435.0
5,22/07/21,26,7,2021,942000,839000,0.0133,"71,91",14627.0,14481.0
6,21/07/21,25,7,2021,943000,840000,0.0133,"72,07",14597.0,14451.0
7,19/07/21,24,7,2021,943000,840000,0.0133,"72,07",14590.0,14444.0
8,16/07/21,23,7,2021,946000,843000,0.0133,"72,07",14576.0,14430.0
9,15/07/21,22,7,2021,946000,843000,0.0133,"71,91",14565.0,14421.0
10,14/07/21,21,7,2021,947000,844000,0.0133,"70,30",14558.0,14414.0
11,13/07/21,20,7,2021,950000,847000,0.0133,"67,42",14558.0,14414.0
12,12/07/21,19,7,2021,950000,847000,0.0133,"66,42",,
13,09/07/21,18,7,2021,949000,846000,0.0133,"71,81",,
14,08/07/21,17,7,2021,949000,846000,0.0133,"71,81",,
15,07/07/21,16,7,2021,956000,854000,0.0133,"71,81",14540.0,14396.0
16,06/07/21,15,7,2021,953000,850000,0.0133,"71,65",14388.0,14244.0
17,05/07/21,14,7,2021,945000,840000,0.0133,"73,13",14436.0,14292.0
18,02/07/21,13,7,2021,946000,841000,0.0133,"75,25",,
19,01/07/21,12,7,2021,950000,845000,0.0133,"74,10",14008.0,13868.0
20,30/06/21,11,7,2021,950000,845000,0.0133,"74,56",14568.0,14424.0
21,29/06/21,10,7,2021,950000,845000,0.0133,"74,56",14544.0,14400.0
22,28/06/21,9,7,2021,947000,842000,0.0133,"74,56",14519.0,14375.0
23,25/06/21,8,7,2021,945000,840000,0.0133,"72,94",14534.0,14390.0
24,24/06/21,7,7,2021,940000,835000,0.0133,"72,20",14526.0,14382.0
25,23/06/21,6,7,2021,939000,834000,0.0133,"73,37",14493.0,14349.0
26,22/06/21,5,7,2021,941000,836000,0.0133,"76,25",14525.0,14381.0
27,21/06/21,4,7,2021,942000,837000,0.0133,"75,14",14475.0,14331.0
28,18/06/21,3,7,2021,942000,837000,0.0133,"75,16",14450.0,14306.0
29,17/06/21,2,7,2021,935000,830000,0.0133,"75,16",14328.0,14186.0
30,16/06/21,1,7,2021,932000,827000,0.0133,"75,23",14315.0,14173.0
31,15/06/21,30,6,2021,822000,927000,0.0133,"73,47",14293.0,14151.0
32,14/06/21,29,6,2021,827000,932000,0.0133,"72,98",14277.0,14135.0
33,11/06/21,28,6,2021,828000,933000,0.0133,"72,91",,
34,10/06/21,27,6,2021,829000,934000,0.0133,"74,05",,
35,09/06/21,26,6,2021,829000,934000,0.0133,"74,05",,
36,08/06/21,25,6,2021,828000,932000,0.0133,"74,05",,
37,07/06/21,24,6,2021,828000,932000,0.0133,"73,30",14554.0,14410.0
38,04/06/21,23,6,2021,827000,930000,0.0133,"73,08",14606.0,14460.0
39,03/06/21,22,6,2021,829000,932000,0.0133,"73,06",,
40,02/06/21,21,6,2021,820000,820000,0.0133,"73,66",,
41,01/06/21,20,6,2021,822000,920000,0.0133,"71,64",13996.0,13856.0
42,31/05/21,19,6,2021,822000,920000,0.0133,"71,64",14382.0,14238.0
43,28/05/21,18,6,2021,822000,920000,0.0133,"71,64",14384.0,14240.0
44,27/05/21,17,6,2021,833000,928000,0.0133,"71,04",14407.0,14263.0
45,26/05/21,16,6,2021,850000,940000,0.0133,"72,15",14434.0,14290.0
46,25/05/21,15,6,2021,853000,943000,0.0133,"72,12",14434.0,14290.0
47,24/05/21,14,6,2021,855000,945000,0.0133,"70,88",14447.0,14303.0
48,21/05/21,13,6,2021,858000,948000,0.0133,"70,91",14468.0,14324.0
49,20/05/21,12,6,2021,858000,948000,0.0133,"70,91",14385.0,14241.0
50,19/05/21,11,6,2021,868000,957000,0.0133,"70,91",14372.0,14229.0
51,18/05/21,10,6,2021,865000,954000,0.0133,"70,29",14355.0,14213.0
52,17/05/21,9,6,2021,868000,957000,0.0133,"69,96",14274.0,14132.0
53,14/05/21,8,6,2021,871000,960000,0.0133,"70,05",14269.0,14127.0
54,13/05/21,7,6,2021,870000,959000,0.0133,"69,23",14269.0,14127.0
55,12/05/21,6,6,2021,871000,960000,0.0133,"69,62",,
56,11/05/21,5,6,2021,871000,960000,0.0133,"69,62",,
57,10/05/21,4,6,2021,860000,949000,0.0133,"69,62",,
58,07/05/21,3,6,2021,875000,964000,0.0133,"68,81",14637.0,14491.0
59,06/05/21,2,6,2021,871000,961000,0.0133,"68,83",,
60,05/05/21,1,6,2021,875000,965000,0.0133,"67,72",14503.0,14359.0
61,04/05/21,31,5,2021,875000,965000,0.0168,"66,96",14657.0,14511.0
62,03/05/21,30,5,2021,875000,965000,0.0168,"66,59",14443.0,14299.0
63,30/04/21,29,5,2021,875000,965000,0.0168,"66,32",14540.0,14396.0
64,29/04/21,28,5,2021,872000,962000,0.0168,"66,32",14583.0,14437.0
65,28/04/21,27,5,2021,872000,962000,0.0168,"66,85",14569.0,14425.0
66,27/04/21,26,5,2021,865000,955000,0.0168,"66,21",14561.0,14417.0
67,26/04/21,25,5,2021,865000,955000,0.0168,"66,07",14621.0,14475.0
68,23/04/21,24,5,2021,869000,959000,0.0168,"66,05",14603.0,14457.0
69,22/04/21,23,5,2021,868000,958000,0.0168,"63,58",14622.0,14476.0
70,21/04/21,22,5,2021,868000,958000,0.0168,"63,58",14581.0,14435.0
71,20/04/21,21,5,2021,867000,957000,0.0168,"63,58",14641.0,14495.0
72,19/04/21,20,5,2021,857000,947000,0.0168,"62,05",14665.0,14519.0
73,16/04/21,19,5,2021,858000,948000,0.0168,"63,36",14719.0,14573.0
74,15/04/21,18,5,2021,857000,947000,0.0168,"65,49",14706.0,14560.0
75,14/04/21,17,5,2021,842000,937000,0.0168,"66,27",14721.0,14575.0
76,13/04/21,16,5,2021,837000,933000,0.0168,"65,37",14704.0,14558.0
77,12/04/21,15,5,2021,837000,933000,0.0168,"65,37",,
78,09/04/21,14,5,2021,837000,933000,0.0168,"65,37",,
79,08/04/21,13,5,2021,837000,933000,0.0168,"63,82",,
80,07/04/21,12,5,2021,837000,933000,0.0168,"66,08",,
81,06/04/21,11,5,2021,837000,933000,0.0168,"65,28",14368.0,14226.0
82,05/04/21,10,5,2021,841000,937000,0.0168,"64,92",14539.0,14395.0
83,02/04/21,9,5,2021,841000,937000,0.0168,"64,90",14106.0,13966.0
84,01/04/21,8,5,2021,841000,937000,0.0168,"64,90",13973.0,13833.0
85,31/03/21,7,5,2021,838000,934000,0.0168,"64,90",14645.0,14499.0
86,30/03/21,6,5,2021,829000,926000,0.0168,"64,71",14553.0,14409.0
87,29/03/21,5,5,2021,825000,922000,0.0168,"65,63",14506.0,14362.0
88,26/03/21,4,5,2021,833000,930000,0.0168,"65,69",14518.0,14374.0
89,25/03/21,3,5,2021,822000,921000,0.0168,"64,49",14536.0,14392.0
90,24/03/21,2,5,2021,822000,921000,0.0168,"63,58",14527.0,14383.0
91,23/03/21,1,5,2021,822000,921000,0.0168,"63,58",14493.0,14349.0
